,goal,plan,id,goal_type
0,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the carpet was not white to start with, so it mixed with another color like red creating a purple stain.""",human,unconstrained
1,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the slushie did not stain the carpet because the carpet was made with stain resistant material.""",human,unconstrained
2,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the rug is treated with Scotchgard and therefore the blue slushie does not sink in and stain the carpet.""",human,unconstrained
3,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the carpet was the exact same color as the slushie, so there was no apparent stain.""",human,unconstrained
4,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the person who spilled the slushie immediately cleaned the spill with spot remover.""",human,unconstrained
5,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because a person immediately cleaned up the spill with a solution to prevent stains.""",human,unconstrained
6,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the carpet is coated with a water/stain resistant film.""",human,unconstrained
7,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the carpet could be a new stain resistant carpet and it just sat on top and someone blotted it. It is gone, with no stain.""",human,unconstrained
8,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the stain was cleaned up.""",human,unconstrained
9,"Scenario: If a blue slushie is spilled on a carpet, then the carpet is stained blue. But suppose a blue slushie is spilled on a carpet, and then the carpet is not stained blue.","""This could have happened because the carpet itself is the same color as the slushie that was spilled.""",human,unconstrained
10,"Scenario: If a car's gas pedal is pressed all the way down, then the car drives very quickly. But suppose a car's gas pedal is pressed all the way down, and then the car does not drive very quickly.","""This could have happened because the car is in neutral.""",human,unconstrained
11,"Scenario: If a car's gas pedal is pressed all the way down, then the car drives very quickly. But suppose a car's gas pedal is pressed all the way down, and then the car does not drive very quickly.","""This could have happened because the gas pedal may be faulty and in need of repair.""",human,unconstrained
12,"Scenario: If a car's gas pedal is pressed all the way down, then the car drives very quickly. But suppose a car's gas pedal is pressed all the way down, and then the car does not drive very quickly.","""This could have happened because the car was moving a lot of weight. Whether it be multiple passengers, a load of items, or the car was towing a trailer.""",human,unconstrained
13,"Scenario: If a car's gas pedal is pressed all the way down, then the car drives very quickly. But suppose a car's gas pedal is pressed all the way down, and then the car does not drive very quickly.","""This could have happened because something is wrong with the car, for example the computer to the car that tells the pedal to work could be broken.""",human,unconstrained
14,"Scenario: If a car's gas pedal is pressed all the way down, then the car drives very quickly. But suppose a car's gas pedal is pressed all the way down, and then the car does not drive very quickly.","""This could have happened because the car is in a low gear.""",human,unconstrained
