,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type
0,0,1,33,"[{""page_index"":0,""viewing_time"":6388.099999904633},{""page_index"":1,""viewing_time"":5811.400000095367},{""page_index"":2,""viewing_time"":1974.1999998092651},{""page_index"":3,""viewing_time"":18168.900000095367},{""page_index"":4,""viewing_time"":7138.300000190735},{""page_index"":5,""viewing_time"":31087.299999713898},{""page_index"":6,""viewing_time"":2487.5},{""page_index"":7,""viewing_time"":1455.4000000953674}]",74512.59999990463,instructions,0,74517,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"""","""","""","""","""","""","""",""""
1,1,1,33,"""",8033,survey-multi-choice,1,82558,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""Q0"":""The plausibility that humans generated language."",""Q1"":""By moving a slider.""}","[0,1]","""","""","""","""","""",""""
2,2,1,33,"[{""page_index"":0,""viewing_time"":1970.7000002861023},{""page_index"":1,""viewing_time"":3168.699999809265},{""page_index"":2,""viewing_time"":1164.0999999046326},{""page_index"":3,""viewing_time"":1061.7000002861023},{""page_index"":4,""viewing_time"":1054.5999999046326},{""page_index"":5,""viewing_time"":1103.0999999046326},{""page_index"":6,""viewing_time"":1038.1999998092651},{""page_index"":7,""viewing_time"":1217.9000000953674}]",11779.400000095367,instructions,2,94341,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"""","""","""","""","""","""","""",""""
3,3,1,33,"""",11253.400000095367,survey-multi-choice,3,105600,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""Q0"":""The plausibility that humans generated language."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""","""",""""
4,4,1,33,"[{""page_index"":0,""viewing_time"":1479.3000001907349}]",1480,instructions,4,107081,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"""","""","""","""","""","""","""",""""
5,5,1,33,"""",11228.599999904633,survey-likert,5,118320,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""humanness"":6}",[0],"If someone falls on the sidewalk, then they scrape your knee. But suppose someone falls on the sidewalk, and then they do not scrape their knee. However, the reason this happened was not that they are wearing knee pads.",rate_humanness,gpt-3,This could have happened because they fell on a patch of grass instead of concrete.,32,single-constraint
6,6,1,33,"""",20886,survey-likert,6,139211,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""humanness"":2}",[0],"If the weather gets hotter around a snowman in a backyard, then the snowman melts. But suppose the weather gets hotter around a snowman in a backyard, and then the snowman does not melt. However, the reason this happened was not that the snowman was made of plastic.",rate_humanness,gpt-3,This could have happened because the snowman was made of a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman was made out of a material that is used to make heat resistant gloves. It is also possible that the snowman was made with a material that is able to withstand higher temperatures. Perhaps the snowman.,32,single-constraint
7,7,1,33,"""",7457.900000095367,survey-likert,7,146675,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""humanness"":6}",[0],"If a cymbal is hit with a drum stick, then it clangs. But suppose a cymbal is hit with a drum stick, and then it does not clang. However, the reason this happened was not that the drumstick was made of soft material.",rate_humanness,gpt-3,This could have happened because the cymbal was made of special material that did not make sound when hit.,32,single-constraint
8,8,1,33,"""",10120.400000095367,survey-likert,8,156799,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""humanness"":5}",[0],"If a fire in an apartment occurs, then the fire alarm goes off. But suppose a fire in an apartment occurs, and then the fire alarm do not goes off. However, the reason this happened was not that the batteries in the fire alarm were dead.",rate_humanness,gpt-3,This could have happened because the fire alarm was not plugged in. It was simply a decoration. It was simply a fire alarm that was never used. It was simply a fire alarm that was never plugged in.,32,single-constraint
9,9,1,33,"""",5565.5,survey-likert,9,162371,28,61e05c6eb0cfe8c09374f8c6,61e061bf05f2f6c3638039d0,5dcca2db88381e92c96b9ac5,61e061bf05f2f6c3638039d0,"{""humanness"":6}",[0],"If a door is locked with a bolt, then it cannot be opened. But suppose a door is locked with a bolt, and then it is opened. However, the reason this happened was not that the lock was broken.",rate_humanness,gpt-3,This could have happened because someone found the key to the door.,32,single-constraint
