,goal,plan,id,batch_idx,goal_type,Unnamed: 0
0,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use the mop handle as a lever to pry the door open. I would then take the bucket and fill it with water.,gpt-3,0,constrained_many,
1,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use my phone to call someone. I would also use my phone to take pictures of the outside of the closet and the inside of the closet. I would use the pictures to send to someone that would help me escape.,gpt-3,0,constrained_many,
2,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use a broom handle to push the door open. I would then use a mop handle to pull the door open.,gpt-3,0,constrained_many,
3,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would try to kick out or break the lock using my feet. If that doesn't work, I would try to break the door using a mop handle.",gpt-3,0,constrained_many,
4,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would try to find a way to make a hole in a wall or a window. I would also try to find a way to break the lock.,gpt-3,0,constrained_many,
5,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would tap the wall next to the door to see if there is a hollow space between the wall and the door.,gpt-3,0,constrained_many,
6,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would take the mop handle and use it to break the glass. I would then take the glass shards and use it to cut the rope.,gpt-3,0,constrained_many,
7,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use a mop handle to break the lock.,gpt-3,0,constrained_many,
8,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would try to break the glass with a mop handle. If that didn't work, I'd try to break the door down by using the handle of the mop and the handle of the broom to pry the door open.",gpt-3,0,constrained_many,
9,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use the mop handle to push the lock down on the door.,gpt-3,0,constrained_many,
10,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would try to break the glass with a mop handle. If that doesn't work, I would try to break the door with a sharp object. If that doesn't work, I would try to break the door with a screwdriver. If that doesn't work, I would try to break the door with a piece of scrap wood. If that doesn't work, I would try to break the door with my hands. If that doesn't work, I would try to break the door with my feet.",gpt-3,1,constrained_many,
11,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would take a mop handle and use it to knock the latch off the door.,gpt-3,1,constrained_many,
12,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would use a piece of plastic to wedge the door open. I would then grab a broom and use it to reach a window and open it.,gpt-3,1,constrained_many,
13,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would first try to find a way to open the door. Then I would find a way to get out of the room. If I couldn't find a way to open the door or get out of the room, I would try to find a way to contact someone outside the room.",gpt-3,1,constrained_many,
14,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would start by creating a hole in the back of the closet and then using a mop handle to pry the door open. Then I would take the door and pry open the door to the room. Then I would take the door and pry open the door to the outside.,gpt-3,1,constrained_many,
15,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would look around and see if there is a way out. If there is not, I would shout for help and bang on the door and hope someone heard me.",gpt-3,1,constrained_many,
16,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would try to pry off the hinges with a screwdriver. If that doesn't work, I would break the glass with the handle of the mop.",gpt-3,1,constrained_many,
17,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.",I would probably try to break the lock with my fist or feet. I would then try to break the hinges off the door. If I were able to do this I would try to pry the door open with the mop handle.,gpt-3,1,constrained_many,
18,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would try to break the door down. If I can't break it, I would try to make a hole in the wall.",gpt-3,1,constrained_many,
19,"Goal: Escape from inside a locked custodial closet, without using a phone, a key, a sharp object, a screwdriver, a mop handle, scrap wood, or a note.","I would break the window with something heavy, like a mop bucket.",gpt-3,1,constrained_many,
20,Goal: Make a pair of new shoes.,I would first find out how much money I have. I would then find out how much the material cost. I would then go to the store and buy the material.,gpt-3,0,unconstrained,
21,Goal: Make a pair of new shoes.,I would go to a shoe store and look at the shoe size. I would then buy the material for the shoe. I would then cut out the shoe.,gpt-3,0,unconstrained,
22,Goal: Make a pair of new shoes.,"I would buy the materials needed, and then I would start to make the shoe.",gpt-3,0,unconstrained,
23,Goal: Make a pair of new shoes.,"I would start with a shoe pattern, I would then cut out the pieces and sew them together. I would then put in the insole and the lining and then sew the shoe together.",gpt-3,0,unconstrained,
24,Goal: Make a pair of new shoes.,"I would need to find a design that I liked, then I would need to find a material that was comfortable and durable enough to make the shoe. Then, I would need to find a way to make the shoes. I would need to use a sewing machine or hand-sew the shoes.",gpt-3,0,unconstrained,
25,Goal: Make a pair of new shoes.,"I would go to the store and purchase the necessary materials, leather, thread, and a sewing machine. I would make sure the leather was the right size and shape, then I would cut out the leather and then sew it together.",gpt-3,0,unconstrained,
26,Goal: Make a pair of new shoes.,"I would have to go to a shoe store and buy some materials. I would have to have the materials shipped to my house. I would have to have my mom pay for it. When I get the materials, I would have to make sure I have the tools to make new shoes. I would have to make sure I have the materials to make the new shoes. I would have to make sure I have the skills to make new shoes. I would have to make sure I have the time to make new shoes.",gpt-3,0,unconstrained,
27,Goal: Make a pair of new shoes.,"I would start by finding a picture of the type of shoe I wanted to make, then I would use that picture to draw out the pattern on fabric. I would cut out the pattern, then I would sew the pieces together. After that, I would cut out the pattern of the shoe's sole, and glue it to the bottom of the shoe.",gpt-3,0,unconstrained,
28,Goal: Make a pair of new shoes.,"I would go to a shoe store to get the materials I need. I would get the fabric, leather, and rubber. I would make a pattern of the shoe I want to make. I would cut the fabric, leather, and rubber. I would sew the shoe together. I would put the shoe on my foot. I would wear the shoe.",gpt-3,0,unconstrained,
29,Goal: Make a pair of new shoes.,"I would first sketch out a design for the shoes on paper, until I get the design that I am happy with.  Then I would figure out what supplies are needed to be able to create the design.  I would purchase the supplies, and then work to assemble the shoes according to the sketches.",gpt-3,0,unconstrained,
30,Goal: Make a pair of new shoes.,I would sketch out a shoe design and then I would find a way to make the shoe.,gpt-3,1,unconstrained,
31,Goal: Make a pair of new shoes.,I would go to a shoe store and try on a shoe that I liked. I would ask the salesperson for the shoe and they would give it to me. I would then take the shoe to a cobbler and have them make me a pair of shoes in the same style and color. If the shoe was made in a factory I would go to the factory and ask if they could make me a pair of shoes in the same style and color.,gpt-3,1,unconstrained,
32,Goal: Make a pair of new shoes.,I would start by making a prototype of the shoe. Then I would make a pattern for the shoe. Then I would cut out the pattern for the shoe. Then I would sew the shoe together.,gpt-3,1,unconstrained,
33,Goal: Make a pair of new shoes.,I would go to a shoe store and try on a pair of shoes that I like. I would then decide what type of material I want to use and buy that. I would then go home and use the material to make the shoes.,gpt-3,1,unconstrained,
34,Goal: Make a pair of new shoes.,I would first figure out what size I need and what style I want. Then I would go to the store and find the materials I need and bring them home. I will then cut the materials and sew them together.,gpt-3,1,unconstrained,
35,Goal: Make a pair of new shoes.,I would search for a design for the shoes I want to make. I would buy the material for the shoes. I would cut the material into the shape of the shoes.,gpt-3,1,unconstrained,
36,Goal: Make a pair of new shoes.,"I would first measure my foot, then I would go to the store and buy the supplies I need. I would go home and cut out the pattern out of paper, then I would cut out the material.",gpt-3,1,unconstrained,
