,goal,plan,id,goal_type
0,Goal: Bake a cake.,"""Figure out what kind of cake to bake. Buy supplies, read directions, and bake.""",human,unconstrained
1,Goal: Bake a cake.,"""I'd get a bowl, put my butter, sugar and flour and use my spatula to stir the mixture to get the desired outcome. Then I pout in a pan, ready to put in the oven for baking.""",human,unconstrained
2,Goal: Bake a cake.,"""I would first find a recipe for the cake I would like to bake, and then ensure that I have all the ingredients necessary. I would then preheat the oven, and mix the ingredients as instructed.  When the oven is up to temperature, I would bake the cake for the instructed amount of time. After the cake is baked, I would let it cool, after which I would frost it and then serve it.""",human,unconstrained
3,Goal: Bake a cake.,"""Decide on what type of cake to bake. Review several different recipes for that type. Choose one that seems best. Make and Bake it.""",human,unconstrained
4,Goal: Bake a cake.,"""Preheat the oven and get supplies. Next mix everything together. Then grease your pan and pour your mix in. Lastly you will place it in the oven for thirty minutes, let it cool and enjoy.""",human,unconstrained
5,Goal: Bake a cake.,"""The first step of baking a cake is deciding what type of cake. There are plenty of pre made boxes at your local grocery store with a galore a flavors and icings to choose from to complement your desired cake mix. Make sure to pick up some sprinkles or candles if its a birthday cake! Once you make it home from the store, you will read the directions on the back of the box and preheat your oven to the designated temperature. Next you will grab a good size bowl and mix the ingredients together, making sure there are no lumps. Next you will pour into a coated/nonstick pan and bake until your desired consistency is achieved. After it cools, removed the cake from the pan and decorate to your choosing! Enjoy!.""",human,unconstrained
6,Goal: Bake a cake.,"""In order to bake a cake, first, you need to select a recipe for the cake you wish to make. After selecting your recipe, make a list of required ingredients. Gather your ingredients and tools such as measuring cups and spoons, scales if using, baking pan and paper etc. Follow the steps in the recipe to prepare your cake batter. Bake the cake in your prepared oven. Take a picture of your cake to remember the moment!.""",human,unconstrained
7,Goal: Bake a cake.,"""Look for the best recipe online. Go to your local grocery store and buy ingredients. Follow the recipe step by step to produce your desired cake.""",human,unconstrained
8,Goal: Bake a cake.,"""Get an easy bake cake mix, then follow the instruction on the package before putting the concoction into the oven and baking it.""",human,unconstrained
9,Goal: Bake a cake.,"""Gather supplies needed (cake mix, pan, cooking spray, etc.). Preheat the oven, spray pan, create the batter, add batter to pan, put pan in oven and set timer.""",human,unconstrained
10,Goal: Build a bookshelf.,"""I will get planks, nails and gum to construct it.""",human,unconstrained
11,Goal: Build a bookshelf.,"""One of the first steps in how to build a bookshelf is choosing the wood. The type of plywood you pick affects the price, weight and durability of your finished product. Pine, birch and oak are three common woods used for building homemade bookshelves.""",human,unconstrained
12,Goal: Build a bookshelf.,"""To build a bookshelf, you need the materials to build the bookshelf, the tools to construct it and keep it together, and a plan or blueprint to assemble it. Firstly, you would need to generate a blueprint for the bookshelf's design, including the dimensions of the materials and how much of each material you would need. Then, you would need to go to a hardware store to gather materials, such as a hammer and nails and wood or whatever material you are using to create the bookshelf.""",human,unconstrained
13,Goal: Build a bookshelf.,"""Find a blueprint or a youtube video, obtain the wood and tools and follow along.""",human,unconstrained
14,Goal: Build a bookshelf.,"""I would research how to build a bookshelf.  then I would buy supplies.  Then I would give up and hire someone to do it for me.""",human,unconstrained
15,Goal: Build a bookshelf.,"""First, I will aquire two long boards and four short boards of wood. Then, I will measure and cut them to appropriate, equal lengths. I will then simply hammer several nails to bring it all together.""",human,unconstrained
16,Goal: Build a bookshelf.,"""Purchase different books and separate them for better identification.""",human,unconstrained
17,Goal: Build a bookshelf.,"""Get a carpenter.""",human,unconstrained
18,Goal: Build a bookshelf.,"""Search the internet for a do it yourself guild on how to build a chef and follow the steps highlighted .""",human,unconstrained
19,Goal: Build a bookshelf.,"""lay out all of the pieces and make sure you have all of the tools ready. start from wherever the instructions tell you to. if there's no instructions, look it up on youtube.""",human,unconstrained
20,Goal: Build a float to dazzle the crowd at the Macy's Day Parade.,"""Hire a team of 1000 people to work on the float with you. Brainstorm a well-known mascot of a cartoon to construct, then figure out how to construct plastic together to form the mascot's distinct shape. After that, you and your people get to work, and use a bunch of balloon inflaters to blow it up. Then, you make a stunt team out of the most athletic of your troupe and dazzle the crowd at the Macy's Day Parade.""",human,unconstrained
