,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type
0,0,1,25,"[{""page_index"":0,""viewing_time"":28649.30000001192},{""page_index"":1,""viewing_time"":25416.399999976158},{""page_index"":2,""viewing_time"":1947.1000000238419},{""page_index"":3,""viewing_time"":294886.60000002384},{""page_index"":4,""viewing_time"":4154.699999988079},{""page_index"":5,""viewing_time"":9209.199999988079},{""page_index"":6,""viewing_time"":7108.899999976158},{""page_index"":7,""viewing_time"":3631.2000000476837}]",375004.90000003576,instructions,0,375019,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"""","""","""","""","""","""","""",""""
1,1,1,25,"""",46767.09999996424,survey-multi-choice,1,421793,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""Q0"":""How likely plans are to achieve goals."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""","""",""""
2,2,1,25,"[{""page_index"":0,""viewing_time"":17142.600000023842},{""page_index"":1,""viewing_time"":2024.5},{""page_index"":2,""viewing_time"":984},{""page_index"":3,""viewing_time"":1271.699999988079},{""page_index"":4,""viewing_time"":1264.3999999761581},{""page_index"":3,""viewing_time"":20608.600000023842},{""page_index"":4,""viewing_time"":18687.30000001192},{""page_index"":5,""viewing_time"":57917.69999998808},{""page_index"":6,""viewing_time"":2838.199999988079},{""page_index"":7,""viewing_time"":4552.900000035763}]",127292.40000003576,instructions,2,549088,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"""","""","""","""","""","""","""",""""
3,3,1,25,"""",34393.19999998808,survey-multi-choice,3,583486,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""Q0"":""The plausibility that humans generated language."",""Q1"":""By writing text.""}","[0,1]","""","""","""","""","""",""""
4,4,1,25,"[{""page_index"":0,""viewing_time"":2792.599999964237},{""page_index"":1,""viewing_time"":1176.1000000238419},{""page_index"":2,""viewing_time"":791.6999999880791},{""page_index"":3,""viewing_time"":1104.300000011921},{""page_index"":4,""viewing_time"":757.8999999761581},{""page_index"":5,""viewing_time"":1162.300000011921},{""page_index"":6,""viewing_time"":1135.8999999761581},{""page_index"":7,""viewing_time"":807.8000000119209}]",9728.899999976158,instructions,4,593216,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"""","""","""","""","""","""","""",""""
5,5,1,25,"""",6797.199999988079,survey-multi-choice,5,600018,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""Q0"":""The plausibility that humans generated language."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""","""",""""
6,6,1,25,"[{""page_index"":0,""viewing_time"":6797.600000023842}]",6798.100000023842,instructions,6,606817,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"""","""","""","""","""","""","""",""""
7,7,1,25,"""",90443.09999996424,survey-likert,7,697265,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""humanness"":4}",[0],"Steal the championship trophy from behind your school's award case, without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person.",rate_humanness,gpt-3,I would use a lock pick to get into the case and take the trophy out. I would then hide it in a bag of some sort and sneak it out of the school.,24,constrained_many
8,8,1,25,"""",8583.699999988079,survey-likert,8,705851,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""humanness"":4}",[0],"Decorate the world's largest Christmas tree, without using lights, Christmas decorations, or fake leaves.",rate_humanness,gpt-3,I would get a lot of people to donate money to buy the tree. I would then get a lot of people to donate money to buy decorations.,24,constrained_many
9,9,1,25,"""",40558.19999998808,survey-likert,9,746414,108,615eba6a7206985d27058d2c,61607e7d7548dd1515cc5a9e,6156ee007bdef87eb5b4aeb0,61607e7d7548dd1515cc5a9e,"{""humanness"":5}",[0],"Steal the championship trophy from behind your school's award case, without using a hammer, a sledgehammer, a mask, spray foam, a backpack, a large bag, or another person.",rate_humanness,gpt-3,"I would find a way to distract the janitor and sneak in. While he is busy with the distraction, I would steal the trophy.",24,constrained_many
