,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,subject_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,PROLIFIC_PID
0,0,1,2,"[{""page_index"":0,""viewing_time"":226679},{""page_index"":1,""viewing_time"":49997},{""page_index"":2,""viewing_time"":7673},{""page_index"":3,""viewing_time"":10735},{""page_index"":4,""viewing_time"":18621},{""page_index"":5,""viewing_time"":2552},{""page_index"":6,""viewing_time"":9222},{""page_index"":7,""viewing_time"":3388}]",328868.0,instructions,0,328876,"""","""","""","""","""","""","""","""","""","""",182
1,1,1,2,"""",7936.0,survey-multi-choice,1,336823,"""","""","{""Q0"":""The plausibility that humans generated language."",""Q1"":""By selecting an option from a multiple choice scale.""}","[0,1]","""","""","""","""","""","""",182
2,2,1,2,"[{""page_index"":0,""viewing_time"":3255}]",3255.0,instructions,2,340080,"""","""","""","""","""","""","""","""","""","""",182
3,3,1,2,"""",41796.0,survey-likert,3,381883,"""","""","{""humanness"":2}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would go to the beach and try to stay in the water.,1,"""",182
4,4,1,2,"""",213599.0,survey-likert,4,595485,"""","""","{""humanness"":4}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would open all the windows and doors. I would also turn on the ceiling fans and open the blinds.,1,"""",182
5,5,1,2,"""",6780.0,survey-likert,5,602272,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use cardboard and duct tape to build the bookshelf.,1,constrained_single,182
6,6,1,2,"""",149198.0,survey-likert,6,751473,"""","""","{""humanness"":2}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,"I would build a large airbag, and have it inflated on the ground, and have a landing pad on top of it.",1,"""",182
7,7,1,2,"""",7998.0,survey-likert,7,759477,"""","""","{""humanness"":5}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would go to the nearest body of water and jump in. I would then swim out to the middle of the water and then dive down to the bottom.,1,constrained_single,182
8,8,1,2,"""",5452.0,survey-likert,8,764931,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,"I would use a metal frame to support the bookshelf, and use metal bars to support the books. The metal bars could be attached to the frame with screws.",1,constrained_single,182
9,9,1,2,"""",9543.0,survey-likert,9,774478,"""","""","{""humanness"":2}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,"I would go to the beach and swim in the ocean. The ocean is always cooler than the air. If I didn't have access to the ocean, I would go to a swimming pool.",1,constrained_single,182
10,10,1,2,"""",21876.0,survey-likert,10,796356,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use a mixture of concrete and rocks to build a bookshelf.,1,constrained_single,182
11,11,1,2,"""",3538.0,survey-likert,11,799899,"""","""","{""humanness"":5}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,"I would try to stay in the shade, and drink lots of water. I would also try to stay cool by going in the water. If I did not have a pool, I would go to a public pool or a water park.",1,constrained_single,182
12,12,1,2,"""",4549.0,survey-likert,12,804449,"""","""","{""humanness"":2}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,I would go to the beach and jump in the water.,1,constrained_single,182
13,13,1,2,"""",5502.0,survey-likert,13,809960,"""","""","{""humanness"":1}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would find a large tree and tie a rope to it.,1,constrained_single,182
14,14,1,2,"""",43360.0,survey-likert,14,853323,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,"I would use cardboard boxes to build a bookshelf. First, I would cut the boxes into shapes I wanted. I would use tape to stick the boxes together.",1,"""",182
15,15,1,2,"""",4304.0,survey-likert,15,857631,"""","""","{""humanness"":5}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would make a giant airbag out of a large tarp and fill it with air. I would attach it to a rope and pulley system and make sure it was secure enough to hold the skydiver's weight.,1,"""",182
16,16,1,2,"""",5106.0,survey-likert,16,862739,"""","""","{""humanness"":4}",[0],"Goal: Create a safe landing for a falling skydiver, without using a net.",rate_humanness,gpt-3,I would have a trampoline with a net underneath it. The net would have a trap door so that the skydiver could land on the trampoline.,1,constrained_single,182
17,17,1,2,"""",5578.0,survey-likert,17,868323,"""","""","{""humanness"":3}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would use cardboard to make shelves.,1,"""",182
18,18,1,2,"""",27428.0,survey-likert,18,895754,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would go to the hardware store and buy a bunch of metal rods.,1,constrained_single,182
19,19,1,2,"""",3179.0,survey-likert,19,898937,"""","""","{""humanness"":5}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would build a bookshelf using the books themselves.,1,constrained_single,182
20,20,1,2,"""",2582.0,survey-likert,20,901522,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would build a bookshelf out of any material that is sturdy and can hold books.,1,constrained_single,182
21,21,1,2,"""",45390.0,survey-likert,21,946913,"""","""","{""humanness"":4}",[0],"Goal: Cool down in a record-breaking heat wave, without using an air conditioner.",rate_humanness,gpt-3,"I would use a fan to blow air across my body, and I would use a wet towel to cool down.",1,"""",182
22,22,1,2,"""",16449.0,survey-likert,22,963367,"""","""","{""humanness"":4}",[0],"Goal: Build a bookshelf, without using wood.",rate_humanness,gpt-3,I would build a bookshelf out of bricks. To build a bookshelf out of bricks you would need to measure the two dimensions of the bookshelf. You would then have to measure the width of the bookshelf to determine how many bricks you will need. You would then have to lay the bricks out in a pattern that would be easy to stack. You will then have to put the bricks in place and stack them. Once the bricks are stacked you will need to put a layer of mortar between the bricks and then smooth it out to make it look like one solid block.,1,"""",182
