,level_0,index,run_id,condition,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,PROLIFIC_PID,STUDY_ID,SESSION_ID,subject_id,study_id,session_id,response,question_order,prompt,task,subj_id,plan,batch_idx,goal_type,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version,rating
69,80,80,10,19,"""",12029,survey-likert,27,537356,0.0-2.0-0.24,6147715900296c81a921f75c,615eba6a7206985d27058d2c,61608b7993e255c6b405b408,6147715900296c81a921f75c,615eba6a7206985d27058d2c,61608b7993e255c6b405b408,"{""humanness"":0}",[0],Play baseball with your friends.,rate_humanness,gpt-3,I would need to know if the field was open or if we would have to book it. I would need to know if everyone was there or if anyone was missing. I would need to know what time everyone was getting there. I would need to know what time the game was starting. I would need to know what time it was over. I would need to know what the teams were. I would need to know the rules. I would need to know if there were any other activities going on. I would need to know if there were any other games after ours.,18,unconstrained,2021-10-08 18:18:39,73.25.39.135,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",WebKit,Chrome,94.0.4606.71,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
80,95,95,100,48,"""",13237,survey-likert,8,301311,0.0-2.0-0.5,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Fix a flat tire, without using a spare tire.",rate_humanness,gpt-3,I would take off the wheel that has the flat tire and then put it on the ground. I would then take the tire off the wheel that has the good tire on it and put it on the wheel that has the flat tire.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
83,98,98,100,48,"""",9667,survey-likert,11,330603,0.0-2.0-0.8,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Keep the plants in your garden alive, without using water.",rate_humanness,gpt-3,I would use a spray bottle with a mix of water and plant food.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
87,102,102,100,48,"""",24184.5,survey-likert,15,378815,0.0-2.0-0.12,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Order food in a restaurant, where you don't speak the native language, without using a translator app.",rate_humanness,gpt-3,I would take a picture of the menu and translate it into English using Google Translate. Then I would read the menu to decide what I wanted to order.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
88,103,103,100,48,"""",10264.899999976158,survey-likert,16,389082,0.0-2.0-0.13,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Keep a baby platupyus entertained, without using a ball.",rate_humanness,gpt-3,I would need to know what kind of toy the platupyus likes. If it is a ball then I would need to get a ball that is easy to grip and throw.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
91,106,106,100,48,"""",9948.300000071526,survey-likert,19,419346,0.0-2.0-0.16,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Escape from inside a locked custodial closet, without using a phone.",rate_humanness,gpt-3,"I would try to find a gap in the door and then I would try to get out of the gap. If I couldn't find a gap in the door, I would try to open the door by pushing down on the doorknob.",47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
92,107,107,100,48,"""",6299.599999904633,survey-likert,20,425647,0.0-2.0-0.17,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Keep a baby platupyus entertained, without using a ball.",rate_humanness,gpt-3,I would use a ball of string. I would tie the string to a stick and then throw it to the platupus.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
95,110,110,100,48,"""",11506.399999976158,survey-likert,23,490216,0.0-2.0-0.20,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Build a float to dazzle the crowd at the Macy's Day Parade, without using a trailer.",rate_humanness,gpt-3,I would first study the blueprints of the float and determine what materials I would need to build it. Then I would go to the nearest hardware store and buy the materials.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
107,122,122,100,48,"""",31424,survey-likert,35,617860,0.0-2.0-0.32,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Help your local town mayor win re-election, without using billboards.",rate_humanness,gpt-3,"I would create a campaign that would be remembered by the people, so they would vote for him again. I would create a memorable slogan, for example, ""Vote for Mayor Smith, he is the best, I have ever had!"" I would also create a memorable poster, for example, I would have a picture of Mayor Smith, and I would have a picture of him with me, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family. I would also have a picture of him with my family, and I would have a picture of him with my family.",47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
108,123,123,100,48,"""",177096.5,survey-likert,36,794959,0.0-2.0-0.33,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,60ff356efe2478909dfaebf7,615eba6a7206985d27058d2c,6165fdca20c37191a58b678a,"{""humanness"":0}",[0],"Get your sofa onto the roof of your house, without using a pulley.",rate_humanness,gpt-3,I would tie a rope to the middle of the sofa and wrap the other end around a tree or pole on the roof. Then I'd tie a large rock to the other end of the rope and tie it to my back. I would then climb the rope and pull the sofa up. Then I would climb back down and untie the rope from the rock and take the rock off my back.,47,constrained_single,2021-10-12 21:27:41,108.82.19.3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",WebKit,Chrome,94.0.4606.61,Windows,10.0,73c52a900c5758503c09bfb5160dbd95,0
