,id,succeed,constraints,method,gpt_prompt,gpt_res
0,003,True,one,codex,,
1,004,True,one,codex,,
2,005,True,one,codex,,
3,006,True,one,codex,,
4,007,True,one,codex,,
5,008,True,one,codex,,
6,009,True,one,codex,,
7,010,True,one,codex,,
8,011,True,one,codex,,
9,012,True,one,codex,,
10,013,True,one,codex,,
11,014,True,one,codex,,
12,015,True,one,codex,,
13,016,True,one,codex,,
14,017,True,one,codex,,
15,018,True,one,codex,,
16,019,True,one,codex,,
17,020,True,one,codex,,
18,021,True,one,codex,,
19,022,True,one,codex,,
20,023,True,one,codex,,
21,024,True,one,codex,,
22,025,True,one,codex,,
23,026,True,one,codex,,
24,027,True,one,codex,,
25,028,True,one,codex,,
26,029,True,one,codex,,
27,030,True,one,codex,,
28,031,True,one,codex,,
29,032,True,one,codex,,
30,033,True,one,codex,,
31,034,True,one,codex,,
32,035,True,one,codex,,
33,036,True,one,codex,,
34,037,True,one,codex,,
35,038,True,one,codex,,
36,039,True,one,codex,,
37,040,True,one,codex,,
38,041,True,one,codex,,
39,042,True,one,codex,,
40,043,True,one,codex,,
41,044,True,one,codex,,
42,045,True,one,codex,,
43,046,True,one,codex,,
44,047,True,one,codex,,
45,048,True,one,codex,,
46,049,True,one,codex,,
47,050,True,one,codex,,
48,051,True,one,codex,,
49,052,True,one,codex,,
50,053,True,one,codex,,
51,054,True,one,codex,,
52,055,True,one,codex,,
53,056,True,one,codex,,
54,057,True,one,codex,,
55,058,True,one,codex,,
56,059,True,one,codex,,
57,060,True,one,codex,,
58,061,True,one,codex,,
59,062,True,one,codex,,
60,063,True,one,codex,,
61,064,True,one,codex,,
62,065,True,one,codex,,
63,066,True,one,codex,,
64,067,True,one,codex,,
65,068,True,one,codex,,
66,069,True,one,codex,,
67,070,True,one,codex,,
68,071,True,one,codex,,
69,072,True,one,codex,,
70,073,True,one,codex,,
71,074,True,one,codex,,
72,075,True,one,codex,,
73,076,True,one,codex,,
74,077,True,one,codex,,
75,078,True,one,codex,,
76,079,True,one,codex,,
77,080,False,one,codex,,
78,081,True,one,codex,,
79,082,True,one,codex,,
80,083,True,one,codex,,
81,084,True,one,codex,,
82,085,True,one,codex,,
83,086,True,one,codex,,
84,087,True,one,codex,,
85,088,True,one,codex,,
86,089,True,one,codex,,
87,090,True,one,codex,,
88,091,True,one,codex,,
89,092,True,one,codex,,
90,093,True,one,codex,,
91,094,True,one,codex,,
92,095,True,one,codex,,
93,096,True,one,codex,,
94,097,True,one,codex,,
95,098,True,one,codex,,
96,099,True,one,codex,,
97,100,True,one,codex,,
98,101,True,one,codex,,
99,102,True,one,codex,,
100,003,True,one,gpt,"There are some items stacked on the table. You can perform either of the following actions:
1. Move the topmost item of a stack to the top of another stack, or
2. Unstack the topmost item of a stack and place it on the table

Given an initial configuration and a set of goal requirements, output a series of actions that satisfies the goal requirements

Initially:
The sketchbook rests on the table.
The phonebook is on the sketchbook.
The keyboard is on the phonebook.
The novel is on the keyboard.
There is nothing on the novel.

Goal:
The keyboard is on the sketchbook.

Actions:
Move the novel onto the table.
Move the keyboard onto the novel.
Move the phonebook onto the table.
Move the keyboard onto the sketchbook.


Initially:
The mouse pad rests on the table.
The newspaper is on the mouse pad.
The writing pad is on the newspaper.
There is nothing on the writing pad.
The keyboard rests on the table.
There is nothing on the keyboard.

Goal:
There is nothing on the newspaper.

Actions:
Move the writing pad onto the keyboard.


Initially:
The plate rests on the table.
There is nothing on the plate.
The laptop rests on the table.
There is nothing on the laptop.
The notebook rests on the table.
The mouse pad is on the notebook.
There is nothing on the mouse pad.

Goal:
The mouse pad rests on the table.

Actions:
Move the mouse pad onto the table.


Initially:
The clipboard rests on the table.
There is nothing on the clipboard.
The ipad rests on the table.
The protractor is on the ipad.
There is nothing on the protractor.
The tablet rests on the table.
There is nothing on the tablet.

Goal:
There is nothing on the ipad.

Actions:
","Move the protractor onto the tablet.


"
